User Name,Full Name,Application,Role,Department,Institution,LogIn Time,LogIn Date,LogOut Time,LogOut Date,Build Version,Cytometer,Serial No,Custom
user1,Ben Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,1:51:12 PM,April 2 2012,1:52:30 PM,April 2 2012,2009_05_13_13_29,LSRII,1, 
user1,Ben Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,2:32:06 PM,April 2 2012,2:36:17 PM,April 2 2012,2009_05_13_13_29,LSRII,1, 
user1,Ben Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,3:29:22 PM,April 2 2012,3:30:44 PM,April 2 2012,2009_05_13_13_29,LSRII,1, 
MolecularBiomarkers,Ben Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,3:30:52 PM,April 2 2012,7:00:31 PM,April 2 2012,2009_05_13_13_29,LSRII,1, 
MolecularBiomarkers, ,BD FACSDiva Software Version 6.1.3,Operator, , ,10:11:00 AM,April 3 2012,10:11:40 AM,April 3 2012,2009_05_13_13_29,LSRII,1, 
Administrator, ,BD FACSDiva Software Version 6.1.3,Administrator, , ,10:11:53 AM,April 3 2012,10:18:05 AM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,10:21:02 AM,April 3 2012,12:52:52 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,12:53:17 PM,April 3 2012,12:53:30 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,12:54:08 PM,April 3 2012,12:54:15 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,12:54:37 PM,April 3 2012,12:54:43 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,12:55:04 PM,April 3 2012,2:32:55 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Administrator, , ,2:35:00 PM,April 3 2012,2:35:56 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
bSebuufu,Benjamin Sebuufu,BD FACSDiva Software Version 6.1.3,Operator, , ,2:35:59 PM,April 3 2012,4:25:53 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
user2,Benon S,BD FACSDiva Software Version 6.1.3,Operator, , ,4:26:15 PM,April 3 2012,6:42:00 PM,April 3 2012,2009_05_13_13_29,LSRII,1, 
user2,Benon S,BD FACSDiva Software Version 6.1.3,Operator, , ,7:42:06 AM,April 4 2012,2:32:54 PM,April 4 2012,2009_05_13_13_29,LSRII,1, 
user2,Benon S,BD FACSDiva Software Version 6.1.3,Operator, , ,8:46:18 AM,April 5 2012,9:19:54 AM,April 5 2012,2009_05_13_13_29,LSRII,1, 
user2,Benon S,BD FACSDiva Software Version 6.1.3,Operator, , ,9:26:06 AM,April 5 2012,9:44:11 AM,April 5 2012,2009_05_13_13_29,LSRII,1, 
user2,Benon S,BD FACSDiva Software Version 6.1.3,Operator, , ,9:44:22 AM,April 5 2012,10:34:44 AM,April 5 2012,2009_05_13_13_29,LSRII,1, 
user2,Benon S,BD FACSDiva Software Version 6.1.3,Operator, , ,11:05:06 AM,April 5 2012,3:26:10 PM,April 5 2012,2009_05_13_13_29,LSRII,1, 
user3,Peter Frank,BD FACSDiva Software Version 6.1.3,Operator, , ,3:26:36 PM,April 5 2012,3:27:27 PM,April 5 2012,2009_05_13_13_29,LSRII,1, 
user3,Peter Frank,BD FACSDiva Software Version 6.1.3,Operator, , ,8:34:41 PM,April 5 2012,7:46:19 AM,April 6 2012,2009_05_13_13_29,LSRII,1, 
user3,Peter Frank,BD FACSDiva Software Version 6.1.3,Operator, , ,7:46:23 AM,April 6 2012, , ,2009_05_13_13_29,LSRII,1, 
user3,Peter Frank,BD FACSDiva Software Version 6.1.3,Operator, , ,1:32:57 PM,April 6 2012,2:36:30 PM,April 6 2012,2009_05_13_13_29,LSRII,1, 
user3,Peter Frank,BD FACSDiva Software Version 6.1.3,Operator, , ,2:36:34 PM,April 6 2012,2:42:02 PM,April 6 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,2:42:06 PM,April 6 2012,2:44:32 PM,April 6 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,2:44:36 PM,April 6 2012,5:04:21 PM,April 6 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,5:04:37 PM,April 6 2012,5:29:32 PM,April 7 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,5:29:49 PM,April 7 2012,5:41:42 PM,April 7 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,5:43:54 PM,April 7 2012, , ,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,5:51:50 PM,April 7 2012,9:34:23 PM,April 7 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Operator, , ,10:06:02 AM,April 9 2012,11:09:28 AM,April 9 2012,2009_05_13_13_29,LSRII,1, 
user4,Frank Moses,BD FACSDiva Software Version 6.1.3,Field Service Engineer, , ,11:09:40 AM,April 9 2012,1:28:30 PM,April 9 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,1:30:31 PM,April 9 2012,5:03:19 PM,April 9 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,10:43:14 AM,April 11 2012,12:47:30 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,12:47:35 PM,April 11 2012,2:04:38 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,2:04:55 PM,April 11 2012,3:43:44 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,3:43:48 PM,April 11 2012,5:07:49 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user5,Chuck Norris,BD FACSDiva Software Version 6.1.3,Operator, , ,5:08:07 PM,April 11 2012,5:10:52 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,5:11:04 PM,April 11 2012,5:36:21 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,5:47:37 PM,April 11 2012,5:52:08 PM,April 11 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,1:15:06 PM,April 12 2012,4:38:39 PM,April 12 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,11:15:02 AM,April 13 2012,11:18:36 AM,April 13 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,11:19:24 AM,April 13 2012,2:14:08 PM,April 13 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,2:19:17 PM,April 13 2012,8:41:15 PM,April 13 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,12:00:03 PM,April 17 2012,5:27:53 PM,April 17 2012,2009_05_13_13_29,LSRII,1, 
user6,Aaron Pierce,BD FACSDiva Software Version 6.1.3,Operator, , ,11:09:08 AM,April 18 2012,1:41:07 PM,April 18 2012,2009_05_13_13_29,LSRII,1, 
