Name,User name,Log in,Log out,Cytometer,Duration
Ben Sebuufu,user1,2012-04-02 13:51:12,2012-04-02 13:52:30,LSRII,0.0216666667
Ben Sebuufu,user1,2012-04-02 14:32:06,2012-04-02 14:36:17,LSRII,0.0697222222
Ben Sebuufu,user1,2012-04-02 15:29:22,2012-04-02 15:30:44,LSRII,0.0227777778
Ben Sebuufu,user1,2013-09-03 06:49:06,2013-09-03 08:41:45,LSRII,1.8775
Ben Sebuufu,user1,2013-09-03 11:05:55,2013-09-03 12:19:51,LSRII,1.2322222222
Ben Sebuufu,user1,2014-01-06 08:05:29,2014-01-06 10:12:28,LSRII,2.1163888889
Ben Sebuufu,user1,2014-01-07 07:36:56,2014-01-07 08:26:30,LSRII,0.8261111111
Ben Sebuufu,user1,2014-01-08 07:31:00,2014-01-08 08:07:51,LSRII,0.6141666667
Ben Sebuufu,user1,2014-07-01 07:36:06,2014-07-01 08:25:19,LSRII,0.8202777778
Ben Sebuufu,user1,2014-07-01 13:44:19,2014-07-01 13:44:49,LSRII,0.0083333333
Ben Sebuufu,user1,2014-10-01 07:48:22,2014-10-01 08:22:59,FACSCantoII,0.5769444444
Ben Sebuufu,user1,2014-10-02 07:15:14,2014-10-02 07:40:03,FACSCantoII,0.4136111111
,,,,Total,8.5997222222

Ben Sebuufu,MolecularBiomarkers,2012-04-02 15:30:52,2012-04-02 19:00:31,LSRII,3.4941666667
Ben Sebuufu,MolecularBiomarkers,2014-01-09 07:42:07,2014-01-09 08:15:07,LSRII,0.55
Ben Sebuufu,MolecularBiomarkers,2014-07-02 07:41:17,2014-07-02 08:35:45,LSRII,0.9077777778
,,,,Total,4.9519444445

,MolecularBiomarkers,2012-04-03 10:11:00,2012-04-03 10:11:40,LSRII,0.0111111111
,MolecularBiomarkers,2014-01-10 08:01:15,2014-01-10 08:27:36,LSRII,0.4391666667
,,,,Total,0.4502777778

Ben Sebuufu,MolecularBiomarkers,2012-04-02 15:30:52,2012-04-02 19:00:31,LSRII,3.4941666667
Ben Sebuufu,MolecularBiomarkers,2014-01-09 07:42:07,2014-01-09 08:15:07,LSRII,0.55
Ben Sebuufu,MolecularBiomarkers,2014-07-02 07:41:17,2014-07-02 08:35:45,LSRII,0.9077777778
,,,,Total,4.9519444445

,MolecularBiomarkers,2012-04-03 10:11:00,2012-04-03 10:11:40,LSRII,0.0111111111
,MolecularBiomarkers,2014-01-10 08:01:15,2014-01-10 08:27:36,LSRII,0.4391666667
,,,,Total,0.4502777778

Benjamin Sebuufu,bSebuufu,2012-04-03 10:21:02,2012-04-03 12:52:52,LSRII,2.5305555556
Benjamin Sebuufu,bSebuufu,2012-04-03 12:53:17,2012-04-03 12:53:30,LSRII,0.0036111111
Benjamin Sebuufu,bSebuufu,2012-04-03 12:54:08,2012-04-03 12:54:15,LSRII,0.0019444444
Benjamin Sebuufu,bSebuufu,2012-04-03 12:54:37,2012-04-03 12:54:43,LSRII,0.0016666667
Benjamin Sebuufu,bSebuufu,2012-04-03 12:55:04,2012-04-03 14:32:55,LSRII,1.6308333333
Benjamin Sebuufu,bSebuufu,2012-04-03 14:35:00,2012-04-03 14:35:56,LSRII,0.0155555556
Benjamin Sebuufu,bSebuufu,2012-04-03 14:35:59,2012-04-03 16:25:53,LSRII,1.8316666667
Benjamin Sebuufu,bSebuufu,2013-02-13 11:17:38,2013-02-13 11:18:47,LSRII,0.0191666667
Benjamin Sebuufu,bSebuufu,2013-02-14 11:29:45,2013-02-14 11:40:53,LSRII,0.1855555556
Benjamin Sebuufu,bSebuufu,2013-09-04 08:10:17,2013-09-04 08:37:04,LSRII,0.4463888889
Benjamin Sebuufu,bSebuufu,2013-09-04 08:40:50,2013-09-04 08:41:21,LSRII,0.0086111111
Benjamin Sebuufu,bSebuufu,2013-09-05 06:52:46,2013-09-05 07:14:18,LSRII,0.3588888889
Benjamin Sebuufu,bSebuufu,2013-09-06 06:49:00,2013-09-06 07:05:54,LSRII,0.2816666667
Benjamin Sebuufu,bSebuufu,2014-01-14 07:36:41,2014-01-14 08:04:27,LSRII,0.4627777778
Benjamin Sebuufu,bSebuufu,2014-01-16 07:40:27,2014-01-16 08:23:41,LSRII,0.7205555556
Benjamin Sebuufu,bSebuufu,2014-01-17 07:38:41,2014-01-17 07:59:13,LSRII,0.3422222222
Benjamin Sebuufu,bSebuufu,2014-01-21 07:33:39,2014-01-21 08:57:10,LSRII,1.3919444444
Benjamin Sebuufu,bSebuufu,2014-01-22 08:52:59,2014-01-22 09:45:52,LSRII,0.8813888889
Benjamin Sebuufu,bSebuufu,2014-07-03 07:11:43,2014-07-03 07:48:29,LSRII,0.6127777778
Benjamin Sebuufu,bSebuufu,2014-07-07 08:43:44,2014-07-07 12:41:05,LSRII,3.9558333333
Benjamin Sebuufu,bSebuufu,2014-07-08 07:50:47,2014-07-08 08:33:34,LSRII,0.7130555556
Benjamin Sebuufu,bSebuufu,2014-10-03 07:42:14,2014-10-03 08:25:20,FACSCantoII,0.7183333333
Benjamin Sebuufu,bSebuufu,2014-10-03 09:04:30,2014-10-03 09:10:51,FACSCantoII,0.1058333333
Benjamin Sebuufu,bSebuufu,2014-10-03 09:26:21,2014-10-03 09:28:27,FACSCantoII,0.035
Benjamin Sebuufu,bSebuufu,2014-10-06 08:16:42,2014-10-06 12:33:19,FACSCantoII,4.2769444444
,,,,Total,21.5327777779

Benon S,user2,2012-04-03 16:26:15,2012-04-03 18:42:00,LSRII,2.2625
Benon S,user2,2012-04-04 07:42:06,2012-04-04 14:32:54,LSRII,6.8466666667
Benon S,user2,2012-04-05 08:46:18,2012-04-05 09:19:54,LSRII,0.56
Benon S,user2,2012-04-05 09:26:06,2012-04-05 09:44:11,LSRII,0.3013888889
Benon S,user2,2012-04-05 09:44:22,2012-04-05 10:34:44,LSRII,0.8394444444
Benon S,user2,2012-04-05 11:05:06,2012-04-05 15:26:10,LSRII,4.3511111111
Benon S,user2,2013-02-18 07:08:13,2013-02-18 09:16:04,LSRII,2.1308333333
